,latlon,count,lon,lat
97,"('-92.5211111', '34.5555556')",3,-92.5211111,34.5555556
98,"('-100.499521', '28.709143')",1,-100.499521,28.709143
99,"('-113.6138889', '33.7811111')",2,-113.6138889,33.7811111
100,"('-97.4055556', '34.8172222')",3,-97.4055556,34.8172222
101,"('-104.0833333', '39.1416667')",2,-104.0833333,39.1416667
102,"('-91.7438889', '45.4086111')",1,-91.7438889,45.4086111
103,"('-75.6538889', '37.7819444')",1,-75.6538889,37.7819444
104,"('-80.148379', '25.981202')",7,-80.148379,25.981202
105,"('-86.549854', '36.042343')",3,-86.549854,36.042343
106,"('-71.8816667', '41.4408333')",2,-71.8816667,41.4408333
107,"('-111.949257', '33.634991')",1,-111.949257,33.634991
108,"('-111.9141667', '43.6725')",2,-111.9141667,43.6725
109,"('-88.968399', '40.147952')",1,-88.968399,40.147952
110,"('-94.19234', '44.057325')",1,-94.19234,44.057325
111,"('-82.9533333', '34.6855556')",2,-82.9533333,34.6855556
112,"('-112.7161111', '32.9477778')",25,-112.7161111,32.9477778
113,"('-117.3694444', '34.1063889')",12,-117.3694444,34.1063889
114,"('-79.8819444', '40.2922222')",1,-79.8819444,40.2922222
115,"('-85.8205556', '40.7977778')",6,-85.8205556,40.7977778
116,"('-84.6947222', '37.91')",1,-84.6947222,37.91
117,"('-82.4452778', '38.4191667')",26,-82.4452778,38.4191667
118,"('-83.8075', '35.3227778')",1,-83.8075,35.3227778
119,"('-90.5552778', '37.9230556')",1,-90.5552778,37.9230556
120,"('-85.4808333', '32.6097222')",7,-85.4808333,32.6097222
121,"('-71.7669444', '42.9075')",2,-71.7669444,42.9075
122,"('-79.3919444', '42.1616667')",2,-79.3919444,42.1616667
123,"('-75.987625', '40.633757')",1,-75.987625,40.633757
124,"('-123.005129', '46.802935')",1,-123.005129,46.802935
125,"('-85.1447222', '43.5966667')",1,-85.1447222,43.5966667
126,"('-113.5408333', '33.8225')",1,-113.5408333,33.8225
127,"('-90.5916667', '34.5294444')",2,-90.5916667,34.5294444
128,"('-81.1763889', '35.3163889')",3,-81.1763889,35.3163889
129,"('-72.5502778', '44.3736111')",2,-72.5502778,44.3736111
130,"('-122.197099', '47.165633')",1,-122.197099,47.165633
